REPORT_DAT,SHIFT,OFFENSE,METHOD,BLOCK,DISTRICT,PSA,WARD,ANC,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,CCN,XBLOCK,YBLOCK,START_DATE,END_DATE,day
10/12/17 12:57,DAY,THEFT/OTHER,OTHERS,600 - 699 BLOCK OF 13TH STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17176951,397430,136664,10/12/17 11:11,10/12/17 11:33,5
10/12/17 20:05,EVENING,THEFT/OTHER,OTHERS,600 - 699 BLOCK OF 13TH STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17177084,397430,136664,10/12/17 15:56,10/12/17 16:25,5
10/13/17 14:20,DAY,THEFT/OTHER,OTHERS,600 - 699 BLOCK OF 13TH STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17177630,397430,136664,10/13/17 12:40,10/13/17 12:50,6
6/25/18 12:41,DAY,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF PENNSYLVANIA AVENUE NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,18103442,397328,136474,6/25/18 8:43,6/25/18 11:36,2
11/17/17 12:10,DAY,THEFT/OTHER,OTHERS,600 - 699 BLOCK OF 13TH STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17199027,397430,136664,11/17/17 10:21,11/17/17 12:09,6
11/9/17 22:46,EVENING,THEFT F/AUTO,OTHERS,1400 - 1499 BLOCK OF I STREET NW,2,207,2,2C,Cluster 8,010100 1,10100,Precinct 129,17194814,397154,137053,11/9/17 14:00,11/9/17 21:45,5
2/15/18 0:46,MIDNIGHT,ROBBERY,OTHERS,718 - 799 BLOCK OF 15TH STREET NW,2,207,2,2B,Cluster 8,010100 1,10100,Precinct 17,18025564,397081,136849,2/14/18 23:40,2/15/18 0:46,4
11/17/17 13:56,DAY,THEFT/OTHER,OTHERS,600 - 699 BLOCK OF 13TH STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17199029,397430,136664,10/23/17 13:29,10/23/17 13:40,2
10/27/17 8:24,DAY,THEFT/OTHER,OTHERS,600 - 699 BLOCK OF 13TH STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17186382,397430,136664,6/13/17 15:38,6/13/17 15:41,3
10/27/17 17:03,EVENING,THEFT/OTHER,OTHERS,500 - 599 BLOCK OF 14TH STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17186656,397226,136542,10/27/17 15:52,10/27/17 16:44,6
11/24/17 16:14,EVENING,THEFT/OTHER,OTHERS,1200 - 1299 BLOCK OF G STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17203192,397497,136718,11/24/17 15:00,11/24/17 15:16,6
11/26/17 18:45,EVENING,THEFT F/AUTO,OTHERS,1400 - 1499 BLOCK OF PENNSYLVANIA AVENUE NW,2,207,2,2C,Cluster 8,006202 1,6202,Precinct 129,17204401,397155,136497,11/26/17 12:00,11/26/17 18:45,1
11/4/17 21:24,EVENING,THEFT/OTHER,OTHERS,1200 - 1299 BLOCK OF G STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17191751,397497,136718,11/4/17 19:48,11/4/17 21:24,7
12/2/17 3:53,MIDNIGHT,THEFT/OTHER,OTHERS,800 - 899 BLOCK OF 14TH STREET NW,1,101,2,2C,Cluster 8,010100 1,10100,Precinct 129,17207817,397227,136991,12/2/17 3:21,12/2/17 3:53,7
12/3/17 15:48,EVENING,THEFT F/AUTO,OTHERS,1200 - 1299 BLOCK OF H STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17208664,397496,136885,12/3/17 14:00,12/3/17 15:36,1
12/4/17 9:37,DAY,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF PENNSYLVANIA AVENUE NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17209031,397328,136474,12/2/17 16:00,12/4/17 4:00,7
11/27/17 2:03,MIDNIGHT,THEFT F/AUTO,OTHERS,1400 - 1499 BLOCK OF I STREET NW,2,207,2,2C,Cluster 8,010100 1,10100,Precinct 129,17204571,397154,137053,11/26/17 22:00,11/27/17 2:03,1
11/13/17 20:14,EVENING,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF G STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17196824,397329,136718,11/13/17 16:34,11/13/17 17:24,2
3/25/18 5:24,MIDNIGHT,THEFT F/AUTO,OTHERS,1306 - 1399 BLOCK OF H STREET NW,1,101,2,2C,Cluster 8,010100 1,10100,Precinct 129,18047570,397302,136928,3/25/18 4:39,3/25/18 5:08,1
12/10/17 19:23,EVENING,THEFT/OTHER,OTHERS,500 - 599 BLOCK OF 14TH STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17212921,397226,136542,12/10/17 18:45,12/10/17 19:23,1
11/21/17 16:28,EVENING,THEFT/OTHER,OTHERS,1200 - 1299 BLOCK OF G STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17201636,397497,136718,11/21/17 14:25,11/21/17 16:00,3
4/3/18 19:47,EVENING,THEFT/OTHER,OTHERS,500 - 599 BLOCK OF 14TH STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,18052932,397226,136542,4/3/18 18:29,4/3/18 19:48,3
12/13/17 2:34,MIDNIGHT,BURGLARY,OTHERS,1400 - 1499 BLOCK OF NEW YORK AVENUE NW,2,207,2,2C,Cluster 8,005800 1,5800,Precinct 129,17214309,397154,136805,12/13/17 1:27,12/13/17 1:35,4
12/13/17 4:30,MIDNIGHT,BURGLARY,OTHERS,1300 - 1399 BLOCK OF F STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17214330,397328,136611,12/13/17 3:20,12/13/17 3:21,4
12/24/17 11:04,DAY,THEFT F/AUTO,OTHERS,1306 - 1399 BLOCK OF H STREET NW,1,101,2,2C,Cluster 8,010100 1,10100,Precinct 129,17209791,397302,136928,12/5/17 14:14,12/5/17 14:59,3
11/28/17 19:22,EVENING,THEFT/OTHER,OTHERS,600 - 699 BLOCK OF 13TH STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17205575,397430,136664,11/28/17 15:00,11/28/17 16:34,3
12/28/17 16:10,EVENING,THEFT/OTHER,OTHERS,1200 - 1299 BLOCK OF G STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17222679,397497,136718,12/28/17 12:12,12/28/17 15:45,5
3/5/18 18:59,EVENING,THEFT F/AUTO,OTHERS,1300 - 1399 BLOCK OF I STREET NW,1,101,2,2C,Cluster 8,010100 1,10100,Precinct 129,18036512,397328,137053,3/5/18 16:00,3/5/18 17:06,2
8/14/17 13:36,DAY,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF F STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17401356,397328,136611,8/10/17 9:25,8/10/17 17:00,5
12/13/17 19:56,EVENING,THEFT/OTHER,OTHERS,600 - 699 BLOCK OF 14TH STREET NW,2,207,2,2C,Cluster 8,005800 1,5800,Precinct 129,17214742,397227,136665,12/13/17 12:30,12/13/17 14:30,4
12/13/17 22:40,EVENING,THEFT/OTHER,OTHERS,600 - 699 BLOCK OF 13TH STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17214833,397430,136664,12/13/17 21:16,12/13/17 21:25,4
12/15/17 1:10,MIDNIGHT,THEFT F/AUTO,OTHERS,1400 - 1499 BLOCK OF NEW YORK AVENUE NW,2,207,2,2C,Cluster 8,005800 1,5800,Precinct 129,17215444,397154,136805,12/14/17 23:00,12/15/17 0:00,5
1/5/18 20:17,EVENING,THEFT/OTHER,OTHERS,1200 - 1299 BLOCK OF G STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,18002600,397497,136718,1/5/18 18:16,1/5/18 18:50,6
1/7/18 4:59,MIDNIGHT,BURGLARY,OTHERS,1300 - 1399 BLOCK OF F STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,18003253,397328,136611,1/7/18 4:30,1/7/18 4:59,1
12/21/17 22:04,EVENING,THEFT/OTHER,OTHERS,1200 - 1299 BLOCK OF G STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17219603,397497,136718,12/21/17 17:30,12/21/17 20:00,5
12/23/17 10:14,DAY,ASSAULT W/DANGEROUS WEAPON,OTHERS,1400 - 1499 BLOCK OF I STREET NW,2,207,2,2C,Cluster 8,010100 1,10100,Precinct 129,17220397,397154,137053,12/23/17 2:00,12/23/17 8:00,7
12/23/17 22:54,EVENING,THEFT/OTHER,OTHERS,1200 - 1299 BLOCK OF G STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17220645,397497,136718,12/23/17 19:25,12/23/17 20:02,7
5/1/18 14:38,DAY,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF F STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,18068782,397328,136611,4/30/18 11:37,4/30/18 13:17,2
1/13/18 14:41,DAY,THEFT F/AUTO,OTHERS,1300 - 1399 BLOCK OF I STREET NW,1,101,2,2C,Cluster 8,010100 1,10100,Precinct 129,18006953,397328,137053,1/13/18 12:00,1/13/18 14:09,7
1/13/18 15:30,EVENING,THEFT F/AUTO,OTHERS,1100 - 1199 BLOCK OF G STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,18006975,397609,136718,1/13/18 13:00,1/13/18 15:00,7
1/15/18 19:04,EVENING,THEFT/OTHER,OTHERS,600 - 699 BLOCK OF 13TH STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,18008008,397430,136664,1/15/18 18:06,1/15/18 18:31,2
1/7/18 23:57,MIDNIGHT,THEFT/OTHER,OTHERS,500 - 599 BLOCK OF 13TH STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,18003511,397429,136542,1/7/18 18:00,1/7/18 20:19,1
1/7/18 22:17,EVENING,THEFT/OTHER,OTHERS,718 - 799 BLOCK OF 15TH STREET NW,2,207,2,2B,Cluster 8,010100 1,10100,Precinct 17,18003544,397081,136849,1/7/18 20:12,1/7/18 21:32,1
1/31/18 20:57,EVENING,BURGLARY,OTHERS,800 - 899 BLOCK OF 15TH STREET NW,2,207,2,2C,Cluster 8,010100 1,10100,Precinct 17,18017489,397081,136991,1/31/18 17:35,1/31/18 17:36,4
1/16/18 16:49,EVENING,THEFT/OTHER,OTHERS,1200 - 1299 BLOCK OF G STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,18008509,397497,136718,1/16/18 15:25,1/16/18 15:40,3
5/17/18 0:25,MIDNIGHT,THEFT/OTHER,OTHERS,500 - 599 BLOCK OF 15TH STREET NW,2,207,2,2A,,006202 1,6202,Precinct 2,18079163,397081,136558,5/16/18 23:27,5/17/18 0:24,4
1/29/18 11:31,DAY,THEFT/OTHER,OTHERS,718 - 799 BLOCK OF 15TH STREET NW,2,207,2,2B,Cluster 8,010100 1,10100,Precinct 17,18016112,397081,136849,1/26/18 17:00,1/26/18 23:00,6
1/29/18 18:37,EVENING,THEFT/OTHER,OTHERS,600 - 699 BLOCK OF 13TH STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,18016347,397430,136664,1/29/18 17:55,1/29/18 18:37,2
2/11/18 4:33,MIDNIGHT,THEFT/OTHER,OTHERS,500 - 599 BLOCK OF 15TH STREET NW,2,207,2,2A,,006202 1,6202,Precinct 2,18023413,397081,136558,2/10/18 23:46,2/11/18 4:02,7
2/7/18 23:43,MIDNIGHT,THEFT F/AUTO,OTHERS,1300 - 1399 BLOCK OF I STREET NW,1,101,2,2C,Cluster 8,010100 1,10100,Precinct 129,18021539,397328,137053,2/7/18 18:46,2/7/18 19:52,4
2/8/18 11:25,DAY,THEFT/OTHER,OTHERS,600 - 699 BLOCK OF 13TH STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,18021774,397430,136664,2/8/18 10:00,2/8/18 10:05,5
2/8/18 16:40,EVENING,THEFT/OTHER,OTHERS,600 - 699 BLOCK OF 13TH STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,18021932,397430,136664,2/8/18 15:23,2/8/18 16:11,5
2/8/18 20:19,EVENING,THEFT F/AUTO,OTHERS,1200 - 1299 BLOCK OF H STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,18021960,397496,136885,2/8/18 14:00,2/8/18 16:00,5
1/17/18 18:27,EVENING,MOTOR VEHICLE THEFT,OTHERS,600 - 699 BLOCK OF 13TH STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,18009159,397430,136664,1/16/18 14:00,1/17/18 18:27,3
6/2/18 10:10,DAY,THEFT/OTHER,OTHERS,1200 - 1299 BLOCK OF G STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,18089041,397497,136718,5/14/18 20:00,5/15/18 9:00,2
10/22/17 13:51,DAY,MOTOR VEHICLE THEFT,OTHERS,600 - 699 BLOCK OF 14TH STREET NW,2,207,2,2C,Cluster 8,005800 1,5800,Precinct 129,17183333,397227,136665,10/20/17 13:30,10/20/17 14:35,6
10/15/17 13:25,DAY,THEFT/OTHER,OTHERS,1400 - 1499 BLOCK OF G STREET NW,2,207,2,2C,Cluster 8,005800 1,5800,Precinct 129,17178926,397154,136719,10/15/17 11:30,10/15/17 12:30,1
